sid,family,instance_type,naive_mae,naive_mase,snaive_mae,snaive_mase
c5.large@ap-southeast-2a,compute,c5.large,0.0005314285714285715,0.2999690892067574,0.001319375,0.7447317256734298
c5.large@ap-southeast-2b,compute,c5.large,0.0008905059523809526,0.4202944884827427,0.0024711011904761902,1.1662922724585953
c5.large@ap-southeast-2c,compute,c5.large,0.0007425297619047617,0.37942677241227146,0.0017401785714285713,0.8892173386887458
c5.large@eu-west-1a,compute,c5.large,0.0005093154761904762,0.30697887676310004,0.001781517857142857,1.0737713191236138
c5.large@eu-west-1b,compute,c5.large,0.0006061309523809524,0.35523117410827665,0.0022427083333333335,1.314369298091387
c5.large@us-east-1a,compute,c5.large,0.00042601190476190473,0.24170354903798136,0.001352053571428571,0.7671056678249584
c5.large@us-east-1b,compute,c5.large,0.00043922619047619046,0.31871994858324615,0.0015667559523809523,1.1369002746488568
c5.large@us-east-1c,compute,c5.large,0.0005857142857142857,0.4276639465385296,0.0014538095238095237,1.0615105925057975
c5.large@us-west-2a,compute,c5.large,0.00046532738095238094,0.31537403542140235,0.001420595238095238,0.9628035470888632
c5.large@us-west-2b,compute,c5.large,0.00040586309523809515,0.2981839141181347,0.001264642857142857,0.9291215720985394
c5.large@us-west-2c,compute,c5.large,0.0004186904761904762,0.26495950145123776,0.0014821726190476193,0.9379619087129011
c5.xlarge@ap-southeast-2a,compute,c5.xlarge,0.0009811309523809525,0.2721445379239019,0.0025434523809523806,0.7054987626941895
c5.xlarge@ap-southeast-2b,compute,c5.xlarge,0.0014126785714285715,0.30814458346923046,0.004072410714285714,0.8883063200995494
c5.xlarge@ap-southeast-2c,compute,c5.xlarge,0.001624226190476191,0.4302693581527638,0.0051011011904761915,1.3513188914008365
c5.xlarge@eu-west-1a,compute,c5.xlarge,0.001552857142857143,0.4633926661941006,0.004559017857142857,1.360469924593892
c5.xlarge@eu-west-1b,compute,c5.xlarge,0.000997113095238095,0.2642556996296439,0.00336764880952381,0.8924969459509031
c5.xlarge@us-east-1a,compute,c5.xlarge,0.0008483035714285715,0.26137436533979497,0.002812886904761905,0.8666903621148666
c5.xlarge@us-east-1b,compute,c5.xlarge,0.0012641666666666667,0.3108262610284928,0.0036538690476190477,0.8983929764212275
c5.xlarge@us-east-1c,compute,c5.xlarge,0.0009531845238095238,0.28275737127375106,0.0029522321428571427,0.8757647436069483
c5.xlarge@us-west-2a,compute,c5.xlarge,0.0013707440476190473,0.3160556865182146,0.004158363095238095,0.9588035819964711
c5.xlarge@us-west-2b,compute,c5.xlarge,0.001332916666666667,0.4344861681552471,0.00413125,1.346649064476172
c5.xlarge@us-west-2c,compute,c5.xlarge,0.0008687500000000002,0.30022693412382695,0.0028938988095238097,1.000087904745814
g4dn.xlarge@ap-southeast-2a,gpu,g4dn.xlarge,0.007317767857142857,0.5183507570385786,0.020080803571428572,1.4224145854849561
g4dn.xlarge@ap-southeast-2b,gpu,g4dn.xlarge,0.0058310416666666675,0.2907951274612668,0.01669041666666667,0.832354169189036
g4dn.xlarge@ap-southeast-2c,gpu,g4dn.xlarge,0.005496160714285716,0.29200036852322536,0.014285535714285716,0.7589628305956919
g4dn.xlarge@eu-west-1a,gpu,g4dn.xlarge,0.00696857142857143,0.38810389341968005,0.025095952380952382,1.3976805616411963
g4dn.xlarge@eu-west-1b,gpu,g4dn.xlarge,0.004171160714285714,0.27472331453009574,0.014249910714285713,0.9385355711130584
g4dn.xlarge@us-east-1a,gpu,g4dn.xlarge,0.004273541666666666,0.2650281225505818,0.011460624999999999,0.7107425559221009
g4dn.xlarge@us-east-1b,gpu,g4dn.xlarge,0.0044821130952380946,0.2889279170837113,0.016062589285714284,1.0354335927451725
g4dn.xlarge@us-east-1c,gpu,g4dn.xlarge,0.004742410714285715,0.3188881528463367,0.015381785714285714,1.034298699421171
g4dn.xlarge@us-west-2a,gpu,g4dn.xlarge,0.005578095238095238,0.34694082053646397,0.016005386904761904,0.9954871383009655
g4dn.xlarge@us-west-2b,gpu,g4dn.xlarge,0.003563601190476189,0.23642099170882747,0.014864821428571429,0.9861810106893241
g4dn.xlarge@us-west-2c,gpu,g4dn.xlarge,0.003710119047619049,0.3072023853060167,0.011551011904761906,0.9564378836086902
m5.2xlarge@ap-southeast-2a,general,m5.2xlarge,0.0032584821428571433,0.3791475069938925,0.00872389880952381,1.0150874977628968
m5.2xlarge@ap-southeast-2b,general,m5.2xlarge,0.0026781845238095245,0.3181791395193152,0.010566458333333334,1.2553379314896709
m5.2xlarge@ap-southeast-2c,general,m5.2xlarge,0.0027386904761904757,0.2678169790415509,0.008570029761904761,0.8380645790692426
m5.2xlarge@eu-west-1a,general,m5.2xlarge,0.0020612202380952387,0.31432433407192223,0.006227142857142857,0.9496037810840263
m5.2xlarge@eu-west-1b,general,m5.2xlarge,0.002849970238095238,0.2822038329826247,0.006532886904761905,0.6468859570259823
m5.2xlarge@us-east-1a,general,m5.2xlarge,0.0026321726190476195,0.30047708862057715,0.008756309523809524,0.9995812484847212
m5.2xlarge@us-east-1b,general,m5.2xlarge,0.0021184523809523815,0.3509379249086846,0.005896696428571427,0.9768331009304965
m5.2xlarge@us-east-1c,general,m5.2xlarge,0.002341458333333333,0.2801915843302127,0.008771964285714284,1.0497007509859573
m5.2xlarge@us-west-2a,general,m5.2xlarge,0.0021090476190476185,0.26935053619751315,0.005702232142857144,0.7282430568802574
m5.2xlarge@us-west-2b,general,m5.2xlarge,0.0030963690476190483,0.37291897604794266,0.008304434523809526,1.0001654104046733
m5.2xlarge@us-west-2c,general,m5.2xlarge,0.0019499107142857144,0.25426082311215636,0.0053875892857142855,0.7025208263844784
m5.large@ap-southeast-2a,general,m5.large,0.0005450000000000001,0.24301667674075253,0.0020540476190476185,0.9159042683453347
m5.large@ap-southeast-2b,general,m5.large,0.0006695535714285715,0.2979538305107972,0.0020319047619047617,0.9042051792075897
m5.large@ap-southeast-2c,general,m5.large,0.0006848809523809522,0.3096611256959705,0.002531577380952381,1.144623892439812
m5.large@eu-west-1a,general,m5.large,0.0005745238095238093,0.2783950232707319,0.002270654761904762,1.1002833560618126
m5.large@eu-west-1b,general,m5.large,0.0004789880952380953,0.25440876124716255,0.0018392261904761904,0.9768828524637846
m5.large@us-east-1a,general,m5.large,0.0006003869047619047,0.3139150270058526,0.0016511904761904767,0.8633324591426517
m5.large@us-east-1b,general,m5.large,0.0005599702380952381,0.3359194378954024,0.0018338690476190475,1.1001160735710287
m5.large@us-east-1c,general,m5.large,0.0005974107142857145,0.29781439574226165,0.0017988392857142858,0.8967369049498346
m5.large@us-west-2a,general,m5.large,0.0005505654761904765,0.25457124582067764,0.0018698214285714284,0.8645706843575265
m5.large@us-west-2b,general,m5.large,0.0006293154761904763,0.3160527598602882,0.0025803273809523815,1.2958835765962224
m5.large@us-west-2c,general,m5.large,0.0006786011904761904,0.5061355140601831,0.0018740773809523812,1.397782868508209
m5.xlarge@ap-southeast-2a,general,m5.xlarge,0.0013614285714285714,0.28900906316517655,0.0038005654761904765,0.8067980141030493
m5.xlarge@ap-southeast-2b,general,m5.xlarge,0.0010129464285714286,0.33190561313649947,0.0037041071428571422,1.21370086087094
m5.xlarge@ap-southeast-2c,general,m5.xlarge,0.0011910119047619048,0.2693459560280511,0.003750505952380952,0.8481725558695316
m5.xlarge@eu-west-1a,general,m5.xlarge,0.0014755357142857144,0.40765034391574995,0.004588869047619047,1.267779578179713
m5.xlarge@eu-west-1b,general,m5.xlarge,0.002446428571428572,0.611518812362024,0.005696547619047619,1.423931225807066
m5.xlarge@us-east-1a,general,m5.xlarge,0.001161011904761905,0.3440709255922442,0.0038002380952380952,1.1262170814412324
m5.xlarge@us-east-1b,general,m5.xlarge,0.0012787499999999997,0.31745648635974943,0.0035790476190476193,0.8885176005138491
m5.xlarge@us-east-1c,general,m5.xlarge,0.0013694642857142857,0.29619858527099846,0.0033788988095238095,0.7308150037901883
m5.xlarge@us-west-2a,general,m5.xlarge,0.0015189583333333329,0.3952944187095542,0.005579255952380952,1.4519481477075291
m5.xlarge@us-west-2b,general,m5.xlarge,0.0010769642857142853,0.25233267915299445,0.003842321428571429,0.9002557216605844
m5.xlarge@us-west-2c,general,m5.xlarge,0.0014738392857142856,0.42485386077291626,0.003688452380952381,1.063245666955616
p3.2xlarge@ap-southeast-2a,gpu,p3.2xlarge,0.029819166666666667,0.2528730032858014,0.08965351190476192,0.760281233339066
p3.2xlarge@ap-southeast-2b,gpu,p3.2xlarge,0.04592904761904762,0.2986660711367209,0.15669907738095237,1.0189781895827716
p3.2xlarge@ap-southeast-2c,gpu,p3.2xlarge,0.04536238095238095,0.3835660825192465,0.1789325,1.512981387207647
p3.2xlarge@eu-west-1a,gpu,p3.2xlarge,0.0366179761904762,0.2647919422521807,0.09990755952380952,0.7224516339836761
p3.2xlarge@eu-west-1b,gpu,p3.2xlarge,0.037689315476190484,0.29347464884945684,0.1398380357142857,1.0888740723607298
p3.2xlarge@us-east-1a,gpu,p3.2xlarge,0.035745535714285716,0.33644838010182604,0.10634175595238095,1.0009225155650245
p3.2xlarge@us-east-1b,gpu,p3.2xlarge,0.03456988095238095,0.29785811350366903,0.10058520833333333,0.8666538493959359
p3.2xlarge@us-east-1c,gpu,p3.2xlarge,0.04188479166666667,0.3216958297101677,0.10120214285714287,0.777282302702365
p3.2xlarge@us-west-2a,gpu,p3.2xlarge,0.03532011904761905,0.2822111485266742,0.14428556547619048,1.1528555465500692
p3.2xlarge@us-west-2b,gpu,p3.2xlarge,0.0413102380952381,0.41275364997966485,0.12216080357142858,1.2205767839514894
p3.2xlarge@us-west-2c,gpu,p3.2xlarge,0.04187107142857143,0.32511651509788025,0.1508919345238095,1.1716313491630235
r5.large@ap-southeast-2a,memory,r5.large,0.0008056547619047618,0.27081692069189334,0.003256666666666667,1.0947126239301714
r5.large@ap-southeast-2b,memory,r5.large,0.0007414285714285715,0.32655178512878563,0.0026195535714285713,1.153745523108555
r5.large@ap-southeast-2c,memory,r5.large,0.0008822321428571429,0.3068473446105918,0.00304125,1.0577708989096224
r5.large@eu-west-1a,memory,r5.large,0.0006042857142857144,0.2870784172002729,0.001823154761904762,0.8661273483478287
r5.large@eu-west-1b,memory,r5.large,0.0012598809523809529,0.4674593849660328,0.0030394642857142864,1.1277463183653278
r5.large@us-east-1a,memory,r5.large,0.0006719047619047619,0.23955769262874813,0.0021581845238095236,0.7694687314393014
r5.large@us-east-1b,memory,r5.large,0.0007182738095238095,0.28757025417330756,0.002583958333333334,1.034521299311376
r5.large@us-east-1c,memory,r5.large,0.0006997619047619049,0.25224321086124885,0.0013913095238095238,0.5015254177161305
r5.large@us-west-2a,memory,r5.large,0.0009713392857142856,0.415075651438705,0.003154017857142857,1.3477844826796817
r5.large@us-west-2b,memory,r5.large,0.0007572023809523809,0.29245336517166487,0.0020285416666666668,0.7834812088961366
r5.large@us-west-2c,memory,r5.large,0.0012597916666666664,0.45975747229442304,0.00450264880952381,1.6432291862777524
r5.xlarge@ap-southeast-2a,memory,r5.xlarge,0.002472440476190476,0.3342285002758349,0.006920952380952379,0.9355855305889175
r5.xlarge@ap-southeast-2b,memory,r5.xlarge,0.0016768452380952386,0.27031817920701046,0.004991785714285714,0.8047077897361934
r5.xlarge@ap-southeast-2c,memory,r5.xlarge,0.0016377976190476184,0.23514213358477445,0.005291488095238094,0.7597103488746392
r5.xlarge@eu-west-1a,memory,r5.xlarge,0.001803482142857143,0.28831931146066686,0.005251190476190476,0.8394979836315339
r5.xlarge@eu-west-1b,memory,r5.xlarge,0.001961904761904762,0.3226914345396536,0.005769851190476191,0.9490172988455556
r5.xlarge@us-east-1a,memory,r5.xlarge,0.0017883333333333336,0.3098839403297728,0.005474910714285714,0.9486972442291972
r5.xlarge@us-east-1b,memory,r5.xlarge,0.002043690476190476,0.39447391835053963,0.0066974404761904775,1.2927425255154565
r5.xlarge@us-east-1c,memory,r5.xlarge,0.0019128273809523803,0.5106713583111773,0.005703244047619048,1.5226064900470295
r5.xlarge@us-west-2a,memory,r5.xlarge,0.0016380357142857138,0.2830223220027957,0.004931607142857143,0.8520906428378078
r5.xlarge@us-west-2b,memory,r5.xlarge,0.001654940476190476,0.258334412191573,0.006075059523809524,0.9483101982765937
r5.xlarge@us-west-2c,memory,r5.xlarge,0.0015047916666666664,0.3094294810940857,0.006183363095238095,1.271481545491354
t3.medium@ap-southeast-2a,burst,t3.medium,0.0002762202380952381,0.3821354458315492,0.0010697023809523808,1.4798741724035707
t3.medium@ap-southeast-2b,burst,t3.medium,0.0002020833333333333,0.3326018378823207,0.0005799107142857142,0.9544546113603857
t3.medium@ap-southeast-2c,burst,t3.medium,0.00035809523809523814,0.4438555226664385,0.0010777083333333335,1.3358088706178861
t3.medium@eu-west-1a,burst,t3.medium,0.00019431547619047624,0.34086115515856397,0.0005050297619047619,0.8859048769927508
t3.medium@eu-west-1b,burst,t3.medium,0.0001930654761904761,0.30330772338260803,0.0005702380952380953,0.8958495421629064
t3.medium@us-east-1a,burst,t3.medium,0.00026452380952380955,0.4192062625617237,0.000761875,1.2073876142346494
t3.medium@us-east-1b,burst,t3.medium,0.0001798511904761905,0.3616270404230772,0.0005738988095238095,1.1539391395793805
t3.medium@us-east-1c,burst,t3.medium,0.00019830357142857144,0.31172727068575323,0.0006511011904761903,1.0235115564748944
t3.medium@us-west-2a,burst,t3.medium,0.00023014880952380948,0.3090351931659782,0.0006486011904761903,0.8709173625586658
t3.medium@us-west-2b,burst,t3.medium,0.00024538690476190477,0.31986358694134115,0.0007589880952380953,0.989346415303588
t3.medium@us-west-2c,burst,t3.medium,0.00025014880952380964,0.3246741541089084,0.0007052678571428572,0.9153841082592266
